Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Swolf medio,Frequenza media vogate,Ripetizioni totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Variazione stress,Stress iniziale,Stress finale,Stress medio,Stress max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2023-09-15 16:58:14,false,"Olgiate Olona Corsa","5,51","412","00:34:30","156","169","3,6","166","175","6:16","5:31","9","12","0,96","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:25.93","6","0,0","","","","","","","","","00:34:30","00:34:30","221","233"
Corsa,2023-09-12 18:21:59,false,"Olgiate Olona Corsa","5,09","387","00:33:28","155","184","3,4","163","204","6:34","4:02","12","11","0,93","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:54.50","6","0,0","","","","","","","","","00:33:26","00:33:28","221","233"
Corsa,2023-09-11 12:36:31,false,"Olgiate Olona Corsa","5,07","391","00:34:52","154","168","3,5","163","173","6:52","6:24","35","36","0,89","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:40.93","6","0,0","","","","","","","","","00:34:51","00:34:52","221","233"
Corsa,2023-09-09 10:02:38,false,"Olgiate Olona - 15' risc + 8x60'' (@175-185 bpm)","5,56","420","00:35:18","156","178","4,0","164","187","6:21","4:29","28","28","0,95","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.00","20","0,0","","","","","","","","","00:35:17","00:35:18","221","233"
Corsa,2023-09-06 12:35:23,false,"Olgiate Olona Corsa","5,21","397","00:32:16","162","179","4,0","165","177","6:12","5:23","15","16","0,98","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:42.72","6","0,0","","","","","","","","","00:32:15","00:32:16","221","233"
Corsa,2023-09-04 18:43:24,false,"Olgiate Olona Corsa","5,10","382","00:31:26","157","170","3,9","164","170","6:10","5:23","24","23","0,99","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:40.58","6","0,0","","","","","","","","","00:31:25","00:31:26","221","239"
Corsa,2023-09-01 18:39:38,false,"Olgiate Olona Corsa","5,37","396","00:31:24","164","182","4,3","165","179","5:51","5:02","46","48","1,03","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:39.100","6","0,0","","","","","","","","","00:31:21","00:31:41","221","233"
Corsa,2023-08-30 18:06:44,false,"Olgiate Olona Corsa","5,18","402","00:38:29","152","163","3,2","165","179","7:26","6:26","13","15","0,82","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:34.82","6","0,0","","","","","","","","","00:38:28","00:38:29","221","233"
Corsa,2023-08-27 17:35:16,false,"Olgiate Olona Corsa","5,16","377","00:31:06","157","175","3,9","169","185","6:02","4:49","17","20","0,98","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:27.32","6","0,0","","","","","","","","","00:31:05","00:31:06","221","233"
Corsa,2023-08-23 18:31:58,false,"Olgiate Olona Corsa","5,05","398","00:36:42","156","179","3,4","162","177","7:16","6:24","31","41","0,85","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:30.31","6","0,0","","","","","","","","","00:36:37","00:36:42","221","233"
